"Time","{__name__=""container_memory_usage_bytes"", endpoint=""https-metrics"", id=""/kubepods/besteffort/podb1dc00c5-9306-4652-b735-a530c83df5ef"", instance=""192.168.39.96:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", namespace=""app"", node=""minikube"", pod=""my-app-deployment-646594f7b7-674rg"", service=""prometheus-operator-kube-p-kubelet""}"
2025-04-17 11:38:30,0
2025-04-17 11:39:00,40951808
2025-04-17 11:39:30,40951808
2025-04-17 11:40:00,40951808
2025-04-17 11:40:30,40951808
2025-04-17 11:41:00,40951808
2025-04-17 11:41:30,40951808
2025-04-17 11:42:00,40951808
2025-04-17 11:42:30,40951808
2025-04-17 11:43:00,40951808
2025-04-17 11:43:30,40951808
2025-04-17 11:44:00,40951808
2025-04-17 11:44:30,40951808
2025-04-17 11:45:00,40951808
2025-04-17 11:45:30,40951808
2025-04-17 11:46:00,40951808
2025-04-17 11:46:30,40951808
2025-04-17 11:47:00,40951808
2025-04-17 11:47:30,40951808
2025-04-17 11:48:00,40951808
2025-04-17 11:48:30,40951808
2025-04-17 11:49:00,40951808
2025-04-17 11:49:30,40951808
2025-04-17 11:50:00,41406464
2025-04-17 11:50:30,41406464
2025-04-17 11:51:00,41406464
2025-04-17 11:51:30,41406464
2025-04-17 11:52:00,41406464
2025-04-17 11:52:30,41406464
2025-04-17 11:53:00,41951232
2025-04-17 11:53:30,41938944
2025-04-17 11:54:00,41938944
2025-04-17 11:54:30,43401216
2025-04-17 11:55:00,45600768
2025-04-17 11:55:30,44253184
2025-04-17 11:56:00,45056000
2025-04-17 11:56:30,46387200
2025-04-17 11:57:00,46399488
2025-04-17 11:57:30,46399488
2025-04-17 11:58:00,46247936
2025-04-17 11:58:30,46440448
2025-04-17 11:59:00,46399488
2025-04-17 11:59:30,46321664
2025-04-17 12:00:00,46338048
2025-04-17 12:00:30,46432256
2025-04-17 12:01:00,46297088
2025-04-17 12:01:30,46301184
2025-04-17 12:02:00,46469120
2025-04-17 12:02:30,46280704
2025-04-17 12:03:00,46342144
2025-04-17 12:03:30,46362624
2025-04-17 12:04:00,46305280
2025-04-17 12:04:30,46358528
2025-04-17 12:05:00,46346240
2025-04-17 12:05:30,46309376
2025-04-17 12:06:00,46338048
2025-04-17 12:06:30,46452736
2025-04-17 12:07:00,46440448
2025-04-17 12:07:30,46243840
2025-04-17 12:08:00,46338048
2025-04-17 12:08:30,46428160
2025-04-17 12:09:00,46329856
2025-04-17 12:09:30,46403584
2025-04-17 12:10:00,46325760
2025-04-17 12:10:30,46460928
2025-04-17 12:11:00,46374912
2025-04-17 12:11:30,46354432
2025-04-17 12:12:00,46288896
2025-04-17 12:12:30,46346240
2025-04-17 12:13:00,46374912
2025-04-17 12:13:30,46342144
2025-04-17 12:14:00,46530560
2025-04-17 12:14:30,46428160
2025-04-17 12:15:00,46354432
2025-04-17 12:15:30,46350336
2025-04-17 12:16:00,46485504
2025-04-17 12:16:30,46292992
2025-04-17 12:17:00,46485504
2025-04-17 12:17:30,46370816
2025-04-17 12:18:00,46252032
2025-04-17 12:18:30,45924352
2025-04-17 12:19:00,46628864
2025-04-17 12:19:30,46628864
2025-04-17 12:20:00,46919680
