"Time","{__name__=""container_memory_usage_bytes"", endpoint=""https-metrics"", id=""/kubepods/besteffort/podb1dc00c5-9306-4652-b735-a530c83df5ef"", instance=""192.168.39.96:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", namespace=""app"", node=""minikube"", pod=""my-app-deployment-646594f7b7-674rg"", service=""prometheus-operator-kube-p-kubelet""}"
2025-05-21 10:16:00,79110144
2025-05-21 10:18:00,79765504
2025-05-21 10:20:00,80490496
2025-05-21 10:22:00,91590656
2025-05-21 10:24:00,91926528
2025-05-21 10:26:00,92332032
2025-05-21 10:28:00,92385280
2025-05-21 10:30:00,92573696
2025-05-21 10:32:00,92540928
2025-05-21 10:34:00,92528640
2025-05-21 10:36:00,92495872
2025-05-21 10:38:00,92549120
2025-05-21 10:40:00,92778496
2025-05-21 10:42:00,92704768
2025-05-21 10:44:00,92762112
2025-05-21 10:46:00,92766208
2025-05-21 10:48:00,92737536
2025-05-21 10:50:00,92774400
2025-05-21 10:52:00,92782592
2025-05-21 10:54:00,92770304
2025-05-21 10:56:00,92778496
2025-05-21 10:58:00,92786688
2025-05-21 11:00:00,92897280
2025-05-21 11:02:00,92741632
2025-05-21 11:04:00,92917760
2025-05-21 11:06:00,92778496
2025-05-21 11:08:00,92749824
2025-05-21 11:10:00,92897280
2025-05-21 11:12:00,92774400
2025-05-21 11:14:00,92749824
2025-05-21 11:16:00,92770304
2025-05-21 11:18:00,92794880
2025-05-21 11:20:00,92839936
2025-05-21 11:22:00,93052928
2025-05-21 11:24:00,92925952
2025-05-21 11:26:00,93048832
2025-05-21 11:28:00,92921856
2025-05-21 11:30:00,92889088
2025-05-21 11:32:00,92925952
2025-05-21 11:34:00,93044736
2025-05-21 11:36:00,92901376
2025-05-21 11:38:00,92921856
2025-05-21 11:40:00,92901376
2025-05-21 11:42:00,92930048
2025-05-21 11:44:00,92913664
2025-05-21 11:46:00,92921856
2025-05-21 11:48:00,93036544
2025-05-21 11:50:00,92905472
2025-05-21 11:52:00,92925952
2025-05-21 11:54:00,92934144
2025-05-21 11:56:00,92934144
2025-05-21 11:58:00,92917760
2025-05-21 12:00:00,92909568
2025-05-21 12:02:00,92917760
2025-05-21 12:04:00,92921856
2025-05-21 12:06:00,92913664
2025-05-21 12:08:00,92913664
2025-05-21 12:10:00,92934144
2025-05-21 12:12:00,92934144
2025-05-21 12:14:00,92942336
2025-05-21 12:16:00,93077504
2025-05-21 12:18:00,92925952
2025-05-21 12:20:00,92942336
2025-05-21 12:22:00,92946432
2025-05-21 12:24:00,92950528
2025-05-21 12:26:00,93073408
2025-05-21 12:28:00,92966912
2025-05-21 12:30:00,92946432
2025-05-21 12:32:00,92950528
2025-05-21 12:34:00,93007872
2025-05-21 12:36:00,93122560
2025-05-21 12:38:00,93011968
2025-05-21 12:40:00,93024256
2025-05-21 12:42:00,93016064
2025-05-21 12:44:00,93020160
2025-05-21 12:46:00,93032448
2025-05-21 12:48:00,93040640
2025-05-21 12:50:00,93024256
2025-05-21 12:52:00,93073408
2025-05-21 12:54:00,93089792
2025-05-21 12:56:00,93122560
2025-05-21 12:58:00,93114368
2025-05-21 13:00:00,93106176
2025-05-21 13:02:00,93118464
2025-05-21 13:04:00,93130752
